; Ubuntu 9.10 gcalctool breakpoint file

805af20,_mp_equation__create_buffer
805d6d0,constant_set
8054750,mperr
805a430,_mp_equation_get_text
805cf10,calc_gpm
8061160,ui_set_display
8052d00,get_radix
805ed60,disp_cb
8052b10,display_unpop
80570a0,mp_cast_to_int
8050f50,display_is_usable_number
80523a0,display_set_number
804f9c0,gtk_widget_destroy
8060bf0,finc_response_cb
805afb0,_mp_equation_restart
805a440,_mp_equation_set_extra
80576a0,mp_set_from_string
80614e0,ui_set_bitfield
805ec00,function_menu_cb
8054480,mp_is_greater_equal
805d560,function_get_value
805d550,function_get_name
805a400,_mp_equation_get_in
8052c20,get_tsep_count
80543a0,mpgcd
80529a0,display_insert_number
80544d0,mp_is_less_equal
8056db0,mp_not
8052e30,get_int_resource
805a4b0,_mp_equation_get_lloc
8051990,display_push
80606a0,menu_item_deselect_cb
8060d80,finc_activate_cb
8052730,display_backspace
8052240,display_set_cursor
8058aa0,mp_sinh
80546f0,mp_abs
805ad20,_mp_equation__switch_to_buffer
8050e70,display_get_answer
805a780,_mp_equation_lex_init_extra
8055970,mp_is_integer
805f0b0,accuracy_other_cb
805a4a0,_mp_equation_set_lval
805d800,register_init
805be30,_mp_equation_parse
8055a20,mp_factorial
805a6f0,_mp_equation_alloc
80654c0,__libc_csu_fini
805a8f0,_mp_equation_lex_init
8058860,mp_asinh
805eb40,exchange_menu_cb
80606f0,menu_item_select_cb
805d270,calc_ddb
80599c0,_mp_equation_error
8056e30,mp_xor
80563f0,mp_get_eulers
8054c60,mp_divide_integer
805eb00,bit_toggle_cb
8060900,edit_functions_response_cb
8055570,mp_add
8055540,mp_subtract
805ec40,constant_menu_cb
8057f10,mp_set_from_double
80654a0,unittest
8061110,register_dialog_response_cb
8053000,set_resource
8061150,ui_beep
8052a80,display_set_show_thousands_separator
806555c,_fini
80654d0,__libc_csu_init
805e550,hyp_cb
8053380,do_expression
8060110,main_window_key_press_cb
8053090,set_enumerated_resource
8050eb0,display_is_undo_step
80590d0,mp_asin
80615f0,copy_cb
80617c0,ui_set_mode
805f4b0,main_window_key_release_cb
805ebc0,store_menu_cb
8059870,mp_tan
805f3b0,mouse_button_cb
8051aa0,display_clear_stack
804f6c0,_init
8054950,mp_multiply_integer
805db10,edit_functions_cb
805f570,ui_set_base
80572f0,mp_cast_to_double
8062040,ui_set_show_thousands_separator
805edd0,quit_cb
8052c90,get_tsep
